,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Filename,Max Speed,Average Speed,Calories,data_ano,data_mes,dia_semana,tempo_min
0,0,3763864420,"Jul 14, 2020, 10:36:55 PM",Corrida no CavoucÃÂ£o,Run,,3378,6.32,,activities/4021635014.gpx.gz,5.800000190734863,1.9397730827331543,637.270263671875,2020,7,Terca,56.3
1,1,3785578121,"Jul 15, 2020, 11:44:01 PM",Funcional,Workout,,1785,0.0,151.0,activities/4045907087.gpx.gz,0.0,0.0,,2020,7,Quarta,29.75
2,2,3785578976,"Jul 17, 2020, 9:39:24 PM",Funcional,Workout,,1808,0.0,166.0,activities/4045908038.gpx.gz,0.0,0.0,,2020,7,Sexta,30.133333333333333
3,3,3787254231,"Jul 19, 2020, 4:08:30 PM",Corrida,Walk,Cavouco,3178,5.64,188.0,activities/4047748524.gpx.gz,8.899999618530273,1.8524622917175293,519.9712524414062,2020,7,Domingo,52.96666666666667
4,4,3787367551,"Jul 11, 2020, 10:10:58 PM",Corrida,Run,,3767,7.0,183.0,activities/4047875950.tcx.gz,7.300000190734863,1.8883193731307983,943.0,2020,7,Sabado,62.78333333333333
5,5,3787376822,"Jul 10, 2020, 10:23:48 PM",Funcional,Workout,,3648,0.34,171.0,activities/4047886130.tcx.gz,8.600000381469727,0.094024121761322,550.0,2020,7,Sexta,60.8
6,6,3787407219,"Jul 8, 2020, 10:38:54 PM",Funcional,Workout,,4104,0.04,136.0,activities/4047919856.tcx.gz,8.600000381469727,0.0104775829240679,481.0,2020,7,Quarta,68.4
7,7,3787416280,"Jul 7, 2020, 10:37:45 PM",Corrida,Run,,4064,6.75,188.0,activities/4047930124.tcx.gz,3.0999999046325684,2.0035619735717773,952.0,2020,7,Terca,67.73333333333333
8,8,3787425947,"Jul 3, 2020, 11:14:50 PM",Funcional,Workout,,4240,0.31,157.0,activities/4047940792.tcx.gz,9.600000381469728,0.0745282992720604,639.0,2020,7,Sexta,70.66666666666667
9,9,3787435472,"Jul 1, 2020, 10:55:00 PM",Funcional,Workout,,3135,0.28,144.0,activities/4047951523.tcx.gz,0.0,0.0918660312891006,420.0,2020,7,Quarta,52.25
